,ipcc_code_2006_for_standard_report,Country_code_A3,Name,ipcc_code_2006_for_standard_report_name,Y_1970
0,1.A.1.a,ABW,Aruba,Main Activity Electricity and Heat Production,34.746760338
1,1.A.1.a,AFG,Afghanistan,Main Activity Electricity and Heat Production,57.320453221
2,1.A.1.a,AGO,Angola,Main Activity Electricity and Heat Production,137.5842869
3,1.A.1.a,AIA,Anguilla,Main Activity Electricity and Heat Production,0.429951228
4,1.A.1.a,ALB,Albania,Main Activity Electricity and Heat Production,698.3074492
5,1.A.1.a,ANT,Netherlands Antilles,Main Activity Electricity and Heat Production,556.9551445
6,1.A.1.a,ARE,United Arab Emirates,Main Activity Electricity and Heat Production,149.85432
7,1.A.1.a,ARG,Argentina,Main Activity Electricity and Heat Production,19470.05903
8,1.A.1.a,ARM,Armenia,Main Activity Electricity and Heat Production,2001.5394
9,1.A.1.a,ATG,Antigua and Barbuda,Main Activity Electricity and Heat Production,142.9826732
10,1.A.1.a,AUS,Australia,Main Activity Electricity and Heat Production,53466.98597
11,1.A.1.a,AUT,Austria,Main Activity Electricity and Heat Production,8206.692563
12,1.A.1.a,AZE,Azerbaijan,Main Activity Electricity and Heat Production,5850.7977
13,1.A.1.a,BDI,Burundi,Main Activity Electricity and Heat Production,0.352401307
14,1.A.1.a,BEL,Belgium,Main Activity Electricity and Heat Production,27065.55792
15,1.A.1.a,BFA,Burkina Faso,Main Activity Electricity and Heat Production,1.510291317
16,1.A.1.a,BGD,Bangladesh,Main Activity Electricity and Heat Production,673.8878337
17,1.A.1.a,BGR,Bulgaria,Main Activity Electricity and Heat Production,21209.78428
18,1.A.1.a,BHR,Bahrain,Main Activity Electricity and Heat Production,304.3032749
19,1.A.1.a,BHS,Bahamas,Main Activity Electricity and Heat Production,1430.260825807
20,1.A.1.a,BIH,Bosnia and Herzegovina,Main Activity Electricity and Heat Production,3015.449619
21,1.A.1.a,BLR,Belarus,Main Activity Electricity and Heat Production,26194.9882
22,1.A.1.a,BLZ,Belize,Main Activity Electricity and Heat Production,82.765459373
23,1.A.1.a,BMU,Bermuda,Main Activity Electricity and Heat Production,194.0479137
24,1.A.1.a,BOL,Bolivia,Main Activity Electricity and Heat Production,237.26480850000002
25,1.A.1.a,BRA,Brazil,Main Activity Electricity and Heat Production,8058.988051
26,1.A.1.a,BRB,Barbados,Main Activity Electricity and Heat Production,342.233260689
27,1.A.1.a,BRN,Brunei Darussalam,Main Activity Electricity and Heat Production,231.8777887
28,1.A.1.a,BTN,Bhutan,Main Activity Electricity and Heat Production,0.771030216
29,1.A.1.a,BWA,Botswana,Main Activity Electricity and Heat Production,44.43408816
30,1.A.1.a,CAF,Central African Republic,Main Activity Electricity and Heat Production,0.503430439
31,1.A.1.a,CAN,Canada,Main Activity Electricity and Heat Production,45903.26675
32,1.A.1.a,CHE,Switzerland,Main Activity Electricity and Heat Production,958.62942
33,1.A.1.a,CHL,Chile,Main Activity Electricity and Heat Production,3906.452501
34,1.A.1.a,CHN,China,Main Activity Electricity and Heat Production,129827.2034
35,1.A.1.a,CIV,Cote d'Ivoire,Main Activity Electricity and Heat Production,474.783074
36,1.A.1.a,CMR,Cameroon,Main Activity Electricity and Heat Production,32.08521849
37,1.A.1.a,COD,Congo_the Democratic Republic of the,Main Activity Electricity and Heat Production,28.00317294
38,1.A.1.a,COG,Congo,Main Activity Electricity and Heat Production,42.74347236
39,1.A.1.a,COK,Cook Islands,Main Activity Electricity and Heat Production,1.634081095
40,1.A.1.a,COL,Colombia,Main Activity Electricity and Heat Production,3556.3489
41,1.A.1.a,COM,Comoros,Main Activity Electricity and Heat Production,0.151029132
42,1.A.1.a,CPV,Cape Verde,Main Activity Electricity and Heat Production,1.057203923
43,1.A.1.a,CRI,Costa Rica,Main Activity Electricity and Heat Production,101.05082217
44,1.A.1.a,CUB,Cuba,Main Activity Electricity and Heat Production,6334.384328
45,1.A.1.a,CYM,Cayman Islands,Main Activity Electricity and Heat Production,35.74566831
46,1.A.1.a,CYP,Cyprus,Main Activity Electricity and Heat Production,640.8719923
47,1.A.1.a,CZE,Czech Republic,Main Activity Electricity and Heat Production,33935.2851
48,1.A.1.a,DEU,Germany,Main Activity Electricity and Heat Production,325355.00601
49,1.A.1.a,DJI,Djibouti,Main Activity Electricity and Heat Production,5.034304393
50,1.A.1.a,DMA,Dominica,Main Activity Electricity and Heat Production,10.388974268999998
51,1.A.1.a,DNK,Denmark,Main Activity Electricity and Heat Production,17737.326419999998
52,1.A.1.a,DOM,Dominican Republic,Main Activity Electricity and Heat Production,1440.9743429999999
53,1.A.1.a,DZA,Algeria,Main Activity Electricity and Heat Production,1646.116787
54,1.A.1.a,ECU,Ecuador,Main Activity Electricity and Heat Production,578.4323344
55,1.A.1.a,EGY,Egypt,Main Activity Electricity and Heat Production,2489.970503
56,1.A.1.a,ERI,Eritrea,Main Activity Electricity and Heat Production,183.5607947
57,1.A.1.a,ESH,Western Sahara,Main Activity Electricity and Heat Production,0.494578183
58,1.A.1.a,ESP,Spain,Main Activity Electricity and Heat Production,22741.724599999998
59,1.A.1.a,EST,Estonia,Main Activity Electricity and Heat Production,12680.5165
60,1.A.1.a,ETH,Ethiopia,Main Activity Electricity and Heat Production,116.8819564
61,1.A.1.a,FIN,Finland,Main Activity Electricity and Heat Production,8442.678868
62,1.A.1.a,FJI,Fiji,Main Activity Electricity and Heat Production,58.012652274000004
63,1.A.1.a,FLK,Falkland Islands (Malvinas),Main Activity Electricity and Heat Production,4.095699388
64,1.A.1.a,FRA,France,Main Activity Electricity and Heat Production,79551.90875599999
65,1.A.1.a,GAB,Gabon,Main Activity Electricity and Heat Production,80.21334633
66,1.A.1.a,GBR,United Kingdom,Main Activity Electricity and Heat Production,222165.3774
67,1.A.1.a,GEO,Georgia,Main Activity Electricity and Heat Production,5690.5505
