,nx_bipartite_bet_centr
ABW,7.173690716989365e-05
AFG,0.0004772686053137505
AGO,5.5846170146818625e-05
AIA,1.3253468166570866e-05
ALB,0.0004662322086440678
ANT,6.211976895891158e-05
ARE,6.433352080421851e-05
ARG,0.0012143281851579324
ARM,0.00022430671434860245
ATG,8.654724866086486e-05
AUS,0.0032142557616555256
AUT,0.0012143281851579324
AZE,0.0007719834414816962
BDI,0.00018880608940990428
BEL,0.0007976503908725869
BFA,0.0001414177081267613
BGD,0.000512598564302995
BGR,0.0006231664584689899
BHR,5.5846170146818625e-05
BHS,0.00024207379351959035
BIH,0.00043150218018398324
BLR,0.0008861864459154685
BLZ,0.00015621328807778148
BMU,9.484565722831535e-05
BOL,0.0003396085615248229
BRA,0.0008627148347226678
BRB,0.00016019090765000097
BRN,9.405388343311268e-05
BTN,0.0003025627830836739
BWA,0.00014234356035660876
CAF,0.0001414177081267613
CAN,0.0009382558647650337
CHE,0.0009382558647650337
CHL,0.0007146933795921154
CHN,0.0030868163634999992
CIV,0.00027259607594331403
CMR,0.00010722515228899073
COD,0.00032845407849916653
COG,9.304380145445179e-05
COK,0.00020060773215893135
COL,0.0011098006015660784
COM,0.00011460571111405458
CPV,0.00011460571111405458
CRI,0.00047439904553472255
CUB,0.0006251230871966362
CYM,7.173690716989365e-05
CYP,0.00019621058471349832
CZE,0.0007367182116524483
DEU,0.0009382558647650337
DJI,9.753827149996053e-05
DMA,0.0001596841276912269
DNK,0.0007976503908725869
DOM,0.00039025875335421684
DZA,0.0008627148347226678
ECU,0.0006180086989648722
EGY,0.001188553418498287
ERI,0.00011439235030147668
ESH,5.9422089462482644e-05
ESP,0.0013086347748078684
EST,0.0007354475937984835
ETH,0.000494645679127973
FIN,0.0009382558647650337
FJI,0.0003248813513830518
FLK,0.00011273588660832233
FRA,0.0009382558647650337
GAB,6.148790697716187e-05
GBR,0.0008713360948134014
GEO,0.000738857379868225
GHA,0.00039212838676465963
GIB,2.4993590184700366e-05
GIN,0.00017208255450683804
GLP,0.0002410866167345351
GMB,0.0001414177081267613
GNB,0.00019244206843155916
GNQ,7.618372054251887e-06
GRC,0.0008713360948134014
GRD,8.654724866086486e-05
GTM,0.0002711639175436516
GUF,0.00021189954026626395
GUY,5.7928948880187814e-05
HKG,0.00025717854347660025
HND,0.00016575401433174084
HRV,0.0005613266912916132
HTI,0.0003776494664871042
HUN,0.0007976503908725869
IDN,0.0007755518014322043
IND,0.00303398454020221
IRL,0.00068823322764556
IRN,0.00034483251995332263
IRQ,0.00020901429684550354
ISL,0.00045249695520343126
ISR,0.0005493536911370583
ITA,0.0013086347748078684
JAM,0.0002439475688758961
JOR,0.0003557669248483249
JPN,0.0013086347748078684
KAZ,0.0007865897000789984
KEN,0.0006086198020749099
KGZ,0.00022304516004073024
KHM,0.0003482690064025386
KIR,0.00020060773215893135
KNA,0.00011138050539511578
KOR,0.0011473435749453096
KWT,0.00022909029980541814
LAO,0.0003481647247392387
LBN,0.00020899583747736186
LBR,0.00019385193142138445
LBY,0.00030898422480412697
LCA,0.0001596841276912269
LKA,0.0005291333778673984
LSO,0.00011460571111405458
LTU,0.0005693857263415266
LUX,0.00024498927182318417
LVA,0.00047504526454512593
MAC,0.00022304887581883038
MAR,0.0005173121880844187
MDA,0.0005829829915825242
MDG,0.0002254968953169415
MDV,0.0002527363116103459
MEX,0.0007762923619066893
MKD,0.00036739814670216166
MLI,0.0001954005327678113
MLT,7.820585132537496e-05
MMR,0.00039198430562967067
MNG,0.0004640542046656594
MOZ,0.00020655901856175444
MRT,0.00017208255450683804
MTQ,0.00019160380233425837
MUS,0.00033831623240275185
MWI,0.0002254968953169415
MYS,0.00031961006515779904
NAM,0.00022537262375155558
NCL,0.00023474557273256715
NER,9.962756929476743e-05
NGA,0.00040128252547737145
NIC,0.00044171337317324
NLD,0.0008645563996105564
NOR,0.0009382558647650337
NPL,9.099565809215916e-05
NZL,0.0010267736451913597
OMN,8.990406720007563e-05
PAK,0.0004189002981166301
PAN,0.00015948081719060193
PER,0.0007572912056133943
PHL,0.0008262709403826523
PLW,0.0004604632138120896
PNG,0.0002527363116103459
POL,0.0007976503908725869
PRK,0.0003631035755650679
PRT,0.0009382558647650337
PRY,0.00043694166949179343
PYF,0.00020060773215893135
QAT,0.00013304425468630077
REU,0.0002254968953169415
ROU,0.0006231664584689899
RUS,0.001207557446188799
RWA,0.0001414177081267613
SAU,0.00022348075027917974
SCG,0.0005610885048735889
SDN,0.00016286334195980383
SEN,0.00027259607594331403
SGP,0.0001480129544282274
SHN,4.8732618771492866e-05
SLB,0.00020060773215893135
SLE,0.0001414177081267613
SLV,0.00042080009419080526
SOM,0.0001414177081267613
SPM,0.00011273588660832233
STP,0.00011460571111405458
SUR,0.00026284429095467553
SVK,0.00042024123907929745
SVN,0.0005234559428181444
SWE,0.0009382558647650337
SWZ,0.00020771413043208035
SYC,0.0001414177081267613
SYR,0.00018041473304910752
TCA,7.173690716989365e-05
TCD,0.00019244206843155916
TGO,5.7928948880187814e-05
THA,0.0008262709403826523
TJK,0.0002814413065637425
TKM,0.0002234122829980133
TLS,2.6122049243254888e-05
TON,0.00020060773215893135
TTO,0.0002776668506808524
TUN,0.0005747209739540107
TUR,0.0008627148347226678
TWN,0.0007976503908725869
TZA,0.00033192696309164476
UGA,0.00029458136283073993
UKR,0.000958143340996574
URY,0.0009023368829511185
USA,0.0034237085775064057
UZB,0.00041488183402802115
VCT,0.0001596841276912269
VEN,0.000958143340996574
VGB,7.173690716989365e-05
VNM,0.0002479558642244111
VUT,0.00020060773215893135
WSM,0.00020060773215893135
YEM,0.00013015968828394546
ZAF,0.000604112817132769
ZMB,0.0004416837505240361
ZWE,0.00022933577181581016
BEN,6.755545660782504e-05
AIR,0.0
PRI,2.8979365022836462e-05
SEA,0.0
FRO,8.81796272394081e-06
GRL,8.666583086822393e-06
