,nx_bipartite_bet_centr
1.A.1.a,0.07491428705077935
1.A.1.bc,0.018477370143773188
1.A.2,0.0738081335444669
1.A.3.a,0.060928492073333056
1.A.3.b_noRES,0.07570136972486081
1.A.3.c,0.014541856391326928
1.A.3.d,0.04132046631659813
1.A.3.e,0.014682814177394036
1.A.4,0.07570136972486081
1.A.5,0.03608642517945573
1.B.1,0.008693295976303448
1.B.2,0.03007426816106934
2.A.1,0.03867751367588513
2.A.2,0.010738614090783704
2.A.3,0.07887170898821663
2.A.4,0.031220615641128387
2.B,0.009212726748082987
2.C,0.014191912157371733
2.D,0.07110234540114078
3.C.1,0.05933667616950742
3.C.2,0.010504530866946986
3.C.3,0.012998343506648075
4.C,0.01744992752501929
5.B,9.521101281098924e-06
