,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_birank
0,1.A.1.a,0.03991920318279925
1,1.A.1.bc,0.020566364912736397
2,1.A.2,0.044458514158579265
3,1.A.3.a,0.018014395953397433
4,1.A.3.b_noRES,0.028557731404939293
5,1.A.3.c,0.015061867408586683
6,1.A.3.d,0.02155053001093647
7,1.A.3.e,0.011654170996972493
8,1.A.4,0.04321916193447819
9,1.A.5,0.018361297775137737
10,1.B.1,0.01606546168745402
11,1.B.2,0.018818745714133375
12,2.A.1,0.015870101870332637
13,2.A.2,0.012071363715805895
14,2.A.3,0.007603402106553704
15,2.A.4,0.011492534638651368
16,2.B,0.012658096502832863
17,2.C,0.014981443069275353
18,2.D,0.01454796989854351
19,3.C.1,0.018833987356973468
20,3.C.2,0.009895500198366748
21,3.C.3,0.007952625545752845
22,4.C,0.008482227070710256
23,5.B,0.009748395501253794
