,nx_bipartite_close_centr
CYM,0.9324894514767933
BEN,0.9285714285714286
BIH,0.9608695652173913
ERI,0.9404255319148936
SDN,0.9444444444444444
UGA,0.9567099567099567
GIN,0.9484978540772532
MLI,0.9484978540772532
GRC,0.9866071428571429
VGB,0.9324894514767933
SHN,0.9246861924686193
BDI,0.9484978540772532
HUN,0.9822222222222222
JOR,0.9608695652173913
PAN,0.9444444444444444
SPM,0.9364406779661016
BTN,0.9525862068965517
SOM,0.9444444444444444
SCG,0.9692982456140351
CUB,0.973568281938326
GRL,0.9057377049180327
KHM,0.9567099567099567
COD,0.9567099567099567
FRA,0.9910313901345291
NPL,0.9324894514767933
CRI,0.9525862068965517
GLP,0.9525862068965517
NER,0.9364406779661016
BMU,0.9364406779661016
AZE,0.9822222222222222
GRD,0.9364406779661016
COM,0.9404255319148936
ARM,0.9444444444444444
REU,0.9525862068965517
UKR,0.9778761061946902
TON,0.9444444444444444
MWI,0.9525862068965517
ZMB,0.9567099567099567
CHN,0.9822222222222222
TUN,0.9692982456140351
CZE,0.9778761061946902
VEN,0.9778761061946902
MOZ,0.9484978540772532
KNA,0.9404255319148936
DOM,0.9444444444444444
PYF,0.9444444444444444
ESP,0.9954954954954955
GHA,0.9567099567099567
KWT,0.9484978540772532
VCT,0.9444444444444444
FRO,0.9057377049180327
PRK,0.9567099567099567
GIB,0.91701244813278
PRT,0.9910313901345291
TKM,0.9484978540772532
AGO,0.9324894514767933
LSO,0.9404255319148936
SYR,0.9444444444444444
IRQ,0.9484978540772532
STP,0.9404255319148936
JPN,0.9954954954954955
BHS,0.9525862068965517
KAZ,0.9822222222222222
GNB,0.9484978540772532
NOR,0.9910313901345291
LVA,0.9608695652173913
COG,0.9364406779661016
MKD,0.9567099567099567
CIV,0.9484978540772532
GAB,0.9285714285714286
MYS,0.9567099567099567
KGZ,0.9444444444444444
BRN,0.9364406779661016
EGY,0.9910313901345291
ROU,0.973568281938326
MLT,0.9285714285714286
KOR,0.9866071428571429
PLW,0.9484978540772532
ARE,0.9285714285714286
LBY,0.9567099567099567
BRB,0.9444444444444444
ISR,0.9692982456140351
ANT,0.9285714285714286
URY,0.9778761061946902
GEO,0.9650655021834061
ZWE,0.9404255319148936
ZAF,0.973568281938326
TJK,0.9484978540772532
ITA,0.9954954954954955
ALB,0.9650655021834061
MRT,0.9484978540772532
RWA,0.9444444444444444
VUT,0.9444444444444444
ESH,0.9285714285714286
PER,0.9822222222222222
LTU,0.9692982456140351
IRL,0.9778761061946902
CAF,0.9444444444444444
VNM,0.9484978540772532
MDV,0.9484978540772532
AUT,0.9910313901345291
CAN,0.9910313901345291
SWZ,0.9484978540772532
TGO,0.9285714285714286
MDA,0.9567099567099567
MMR,0.9608695652173913
PRY,0.9608695652173913
EST,0.9778761061946902
HRV,0.9692982456140351
SEN,0.9484978540772532
MUS,0.9525862068965517
HND,0.9444444444444444
BLR,0.973568281938326
AIA,0.91701244813278
SYC,0.9444444444444444
NLD,0.9866071428571429
SGP,0.9444444444444444
SLV,0.9484978540772532
CYP,0.9444444444444444
GMB,0.9444444444444444
HKG,0.9444444444444444
IRN,0.9567099567099567
WSM,0.9444444444444444
GUY,0.9285714285714286
SWE,0.9910313901345291
AIR,0.655786350148368
BGD,0.9650655021834061
POL,0.9822222222222222
SLB,0.9444444444444444
MNG,0.9650655021834061
DJI,0.9364406779661016
BRA,0.9866071428571429
KEN,0.973568281938326
AFG,0.9650655021834061
BGR,0.973568281938326
PRI,0.9208333333333333
TZA,0.9567099567099567
SVN,0.9692982456140351
PHL,0.9866071428571429
LBN,0.9484978540772532
DZA,0.9866071428571429
USA,0.9954954954954955
CMR,0.9324894514767933
GBR,0.9866071428571429
ATG,0.9364406779661016
COL,0.9866071428571429
NAM,0.9484978540772532
NCL,0.9484978540772532
GUF,0.9484978540772532
SUR,0.9525862068965517
BEL,0.9822222222222222
PAK,0.9608695652173913
RUS,0.9910313901345291
TCA,0.9324894514767933
TLS,0.91701244813278
NZL,0.9822222222222222
MEX,0.9692982456140351
LBR,0.9484978540772532
JAM,0.9525862068965517
LAO,0.9567099567099567
OMN,0.9364406779661016
MAR,0.9650655021834061
BOL,0.9608695652173913
AUS,0.9954954954954955
GTM,0.9525862068965517
SLE,0.9444444444444444
COK,0.9444444444444444
IDN,0.9822222222222222
CHE,0.9910313901345291
PNG,0.9484978540772532
THA,0.9866071428571429
BHR,0.9324894514767933
LCA,0.9444444444444444
UZB,0.9608695652173913
DMA,0.9444444444444444
ETH,0.9650655021834061
DNK,0.9822222222222222
ARG,0.9910313901345291
KIR,0.9444444444444444
LKA,0.9692982456140351
IND,0.9910313901345291
LUX,0.9444444444444444
MTQ,0.9484978540772532
SAU,0.9484978540772532
SVK,0.9608695652173913
QAT,0.9364406779661016
FLK,0.9364406779661016
SEA,0.5909090909090909
MAC,0.9444444444444444
GNQ,0.91701244813278
BLZ,0.9444444444444444
MDG,0.9525862068965517
TUR,0.9866071428571429
ECU,0.9608695652173913
YEM,0.9404255319148936
DEU,0.9910313901345291
FIN,0.9910313901345291
NGA,0.9567099567099567
BWA,0.9364406779661016
TWN,0.9822222222222222
ISL,0.9608695652173913
FJI,0.9567099567099567
CPV,0.9404255319148936
NIC,0.9650655021834061
ABW,0.9324894514767933
TCD,0.9484978540772532
TTO,0.9525862068965517
CHL,0.9778761061946902
HTI,0.9444444444444444
BFA,0.9444444444444444
