,nx_bipartite_close_centr
1.A.1.bc,0.5844748858447488
3.C.3,0.5446808510638298
2.A.3,0.9770992366412213
2.A.2,0.5224489795918368
3.C.1,0.847682119205298
1.A.5,0.6666666666666666
1.A.4,0.9770992366412213
1.B.2,0.6564102564102564
2.A.4,0.6597938144329897
1.A.3.d,0.6597938144329897
2.C,0.5541125541125541
1.A.1.a,0.9696969696969697
2.B,0.5140562248995983
5.B,0.38323353293413176
1.B.1,0.5039370078740157
4.C,0.5493562231759657
2.D,0.9552238805970149
3.C.2,0.5245901639344263
2.A.1,0.7191011235955056
1.A.3.a,0.8050314465408805
1.A.2,0.9696969696969697
1.A.3.b_noRES,0.9770992366412213
1.A.3.c,0.5423728813559322
1.A.3.e,0.5311203319502075
