,Country_code_A3,Name
0,ABW,Aruba
1,ABW,Aruba
2,ABW,Aruba
3,ABW,Aruba
4,ABW,Aruba
5,ABW,Aruba
6,ABW,Aruba
7,ABW,Aruba
8,ABW,Aruba
9,ABW,Aruba
10,ABW,Aruba
11,ABW,Aruba
12,ABW,Aruba
13,ABW,Aruba
14,ABW,Aruba
15,ABW,Aruba
16,ABW,Aruba
17,AFG,Afghanistan
18,AFG,Afghanistan
19,AFG,Afghanistan
20,AFG,Afghanistan
21,AFG,Afghanistan
22,AFG,Afghanistan
23,AFG,Afghanistan
24,AFG,Afghanistan
25,AFG,Afghanistan
26,AFG,Afghanistan
27,AFG,Afghanistan
28,AFG,Afghanistan
29,AFG,Afghanistan
30,AFG,Afghanistan
31,AFG,Afghanistan
32,AFG,Afghanistan
33,AFG,Afghanistan
34,AFG,Afghanistan
35,AFG,Afghanistan
36,AFG,Afghanistan
37,AFG,Afghanistan
38,AFG,Afghanistan
39,AFG,Afghanistan
40,AFG,Afghanistan
41,AFG,Afghanistan
42,AGO,Angola
43,AGO,Angola
44,AGO,Angola
45,AGO,Angola
46,AGO,Angola
47,AGO,Angola
48,AGO,Angola
49,AGO,Angola
50,AGO,Angola
51,AGO,Angola
52,AGO,Angola
53,AGO,Angola
54,AGO,Angola
55,AGO,Angola
56,AGO,Angola
57,AGO,Angola
58,AGO,Angola
59,AGO,Angola
60,AGO,Angola
61,AGO,Angola
62,AIA,Anguilla
63,AIA,Anguilla
64,AIA,Anguilla
65,AIA,Anguilla
66,AIA,Anguilla
67,AIA,Anguilla
68,AIA,Anguilla
69,AIA,Anguilla
70,AIA,Anguilla
71,AIR,Int. Aviation
72,AIR,Int. Aviation
73,ALB,Albania
74,ALB,Albania
75,ALB,Albania
76,ALB,Albania
77,ALB,Albania
78,ALB,Albania
79,ALB,Albania
80,ALB,Albania
81,ALB,Albania
82,ALB,Albania
83,ALB,Albania
84,ALB,Albania
85,ALB,Albania
86,ALB,Albania
87,ALB,Albania
88,ALB,Albania
89,ALB,Albania
90,ALB,Albania
91,ALB,Albania
92,ALB,Albania
93,ALB,Albania
94,ALB,Albania
95,ALB,Albania
96,ALB,Albania
97,ALB,Albania
98,ALB,Albania
99,ALB,Albania
100,ANT,Netherlands Antilles
101,ANT,Netherlands Antilles
102,ANT,Netherlands Antilles
103,ANT,Netherlands Antilles
104,ANT,Netherlands Antilles
105,ANT,Netherlands Antilles
106,ANT,Netherlands Antilles
107,ANT,Netherlands Antilles
108,ANT,Netherlands Antilles
109,ANT,Netherlands Antilles
110,ARE,United Arab Emirates
111,ARE,United Arab Emirates
112,ARE,United Arab Emirates
113,ARE,United Arab Emirates
114,ARE,United Arab Emirates
115,ARE,United Arab Emirates
116,ARE,United Arab Emirates
117,ARE,United Arab Emirates
118,ARE,United Arab Emirates
119,ARE,United Arab Emirates
120,ARE,United Arab Emirates
121,ARE,United Arab Emirates
122,ARE,United Arab Emirates
123,ARE,United Arab Emirates
124,ARE,United Arab Emirates
125,ARE,United Arab Emirates
126,ARE,United Arab Emirates
127,ARG,Argentina
128,ARG,Argentina
129,ARG,Argentina
130,ARG,Argentina
131,ARG,Argentina
132,ARG,Argentina
133,ARG,Argentina
134,ARG,Argentina
135,ARG,Argentina
136,ARG,Argentina
137,ARG,Argentina
138,ARG,Argentina
139,ARG,Argentina
140,ARG,Argentina
141,ARG,Argentina
142,ARG,Argentina
143,ARG,Argentina
144,ARG,Argentina
145,ARG,Argentina
146,ARG,Argentina
147,ARG,Argentina
148,ARG,Argentina
149,ARG,Argentina
150,ARG,Argentina
151,ARG,Argentina
152,ARG,Argentina
153,ARG,Argentina
154,ARG,Argentina
155,ARG,Argentina
156,ARG,Argentina
157,ARM,Armenia
158,ARM,Armenia
159,ARM,Armenia
160,ARM,Armenia
161,ARM,Armenia
162,ARM,Armenia
163,ARM,Armenia
164,ARM,Armenia
165,ARM,Armenia
166,ARM,Armenia
167,ARM,Armenia
168,ARM,Armenia
169,ARM,Armenia
170,ARM,Armenia
171,ARM,Armenia
172,ARM,Armenia
173,ARM,Armenia
174,ARM,Armenia
175,ARM,Armenia
176,ARM,Armenia
177,ATG,Antigua and Barbuda
178,ATG,Antigua and Barbuda
179,ATG,Antigua and Barbuda
180,ATG,Antigua and Barbuda
181,ATG,Antigua and Barbuda
182,ATG,Antigua and Barbuda
183,ATG,Antigua and Barbuda
184,ATG,Antigua and Barbuda
185,ATG,Antigua and Barbuda
186,ATG,Antigua and Barbuda
187,ATG,Antigua and Barbuda
188,ATG,Antigua and Barbuda
189,ATG,Antigua and Barbuda
190,ATG,Antigua and Barbuda
191,ATG,Antigua and Barbuda
192,ATG,Antigua and Barbuda
193,ATG,Antigua and Barbuda
194,AUS,Australia
195,AUS,Australia
196,AUS,Australia
197,AUS,Australia
198,AUS,Australia
199,AUS,Australia
200,AUS,Australia
201,AUS,Australia
202,AUS,Australia
203,AUS,Australia
204,AUS,Australia
205,AUS,Australia
206,AUS,Australia
207,AUS,Australia
208,AUS,Australia
209,AUS,Australia
210,AUS,Australia
211,AUS,Australia
212,AUS,Australia
213,AUS,Australia
214,AUS,Australia
215,AUS,Australia
216,AUS,Australia
217,AUS,Australia
218,AUS,Australia
219,AUS,Australia
220,AUS,Australia
221,AUS,Australia
222,AUS,Australia
223,AUS,Australia
224,AUT,Austria
225,AUT,Austria
226,AUT,Austria
227,AUT,Austria
228,AUT,Austria
229,AUT,Austria
230,AUT,Austria
231,AUT,Austria
232,AUT,Austria
233,AUT,Austria
234,AUT,Austria
235,AUT,Austria
236,AUT,Austria
237,AUT,Austria
238,AUT,Austria
239,AUT,Austria
240,AUT,Austria
241,AUT,Austria
242,AUT,Austria
243,AUT,Austria
244,AUT,Austria
245,AUT,Austria
246,AUT,Austria
247,AUT,Austria
248,AUT,Austria
249,AUT,Austria
250,AUT,Austria
251,AUT,Austria
252,AUT,Austria
253,AUT,Austria
254,AUT,Austria
255,AUT,Austria
256,AUT,Austria
257,AZE,Azerbaijan
258,AZE,Azerbaijan
259,AZE,Azerbaijan
260,AZE,Azerbaijan
261,AZE,Azerbaijan
262,AZE,Azerbaijan
263,AZE,Azerbaijan
264,AZE,Azerbaijan
265,AZE,Azerbaijan
266,AZE,Azerbaijan
267,AZE,Azerbaijan
268,AZE,Azerbaijan
269,AZE,Azerbaijan
270,AZE,Azerbaijan
271,AZE,Azerbaijan
272,AZE,Azerbaijan
273,AZE,Azerbaijan
274,AZE,Azerbaijan
275,AZE,Azerbaijan
276,AZE,Azerbaijan
277,AZE,Azerbaijan
278,AZE,Azerbaijan
279,AZE,Azerbaijan
280,AZE,Azerbaijan
281,AZE,Azerbaijan
282,AZE,Azerbaijan
283,AZE,Azerbaijan
284,BDI,Burundi
285,BDI,Burundi
286,BDI,Burundi
287,BDI,Burundi
288,BDI,Burundi
289,BDI,Burundi
290,BDI,Burundi
291,BDI,Burundi
292,BDI,Burundi
293,BDI,Burundi
294,BDI,Burundi
295,BDI,Burundi
296,BDI,Burundi
297,BDI,Burundi
298,BDI,Burundi
299,BDI,Burundi
300,BDI,Burundi
301,BDI,Burundi
302,BDI,Burundi
303,BDI,Burundi
304,BDI,Burundi
305,BDI,Burundi
306,BEL,Belgium
307,BEL,Belgium
308,BEL,Belgium
309,BEL,Belgium
310,BEL,Belgium
311,BEL,Belgium
312,BEL,Belgium
313,BEL,Belgium
314,BEL,Belgium
315,BEL,Belgium
316,BEL,Belgium
317,BEL,Belgium
318,BEL,Belgium
319,BEL,Belgium
320,BEL,Belgium
321,BEL,Belgium
322,BEL,Belgium
323,BEL,Belgium
324,BEL,Belgium
325,BEL,Belgium
326,BEL,Belgium
327,BEL,Belgium
328,BEL,Belgium
329,BEL,Belgium
330,BEL,Belgium
331,BEL,Belgium
332,BEL,Belgium
333,BEL,Belgium
334,BEL,Belgium
335,BEL,Belgium
336,BEN,Benin
337,BEN,Benin
338,BEN,Benin
339,BEN,Benin
340,BEN,Benin
341,BEN,Benin
342,BEN,Benin
343,BEN,Benin
344,BEN,Benin
345,BEN,Benin
346,BEN,Benin
347,BEN,Benin
348,BEN,Benin
349,BEN,Benin
350,BEN,Benin
351,BEN,Benin
352,BEN,Benin
353,BEN,Benin
354,BEN,Benin
355,BFA,Burkina Faso
356,BFA,Burkina Faso
357,BFA,Burkina Faso
358,BFA,Burkina Faso
359,BFA,Burkina Faso
360,BFA,Burkina Faso
361,BFA,Burkina Faso
362,BFA,Burkina Faso
363,BFA,Burkina Faso
364,BFA,Burkina Faso
365,BFA,Burkina Faso
366,BFA,Burkina Faso
367,BFA,Burkina Faso
368,BFA,Burkina Faso
369,BFA,Burkina Faso
370,BFA,Burkina Faso
371,BFA,Burkina Faso
372,BFA,Burkina Faso
373,BFA,Burkina Faso
374,BFA,Burkina Faso
375,BFA,Burkina Faso
376,BGD,Bangladesh
377,BGD,Bangladesh
378,BGD,Bangladesh
379,BGD,Bangladesh
380,BGD,Bangladesh
381,BGD,Bangladesh
382,BGD,Bangladesh
383,BGD,Bangladesh
384,BGD,Bangladesh
385,BGD,Bangladesh
386,BGD,Bangladesh
387,BGD,Bangladesh
388,BGD,Bangladesh
389,BGD,Bangladesh
390,BGD,Bangladesh
391,BGD,Bangladesh
392,BGD,Bangladesh
393,BGD,Bangladesh
394,BGD,Bangladesh
395,BGD,Bangladesh
396,BGD,Bangladesh
397,BGD,Bangladesh
398,BGD,Bangladesh
399,BGR,Bulgaria
400,BGR,Bulgaria
401,BGR,Bulgaria
402,BGR,Bulgaria
403,BGR,Bulgaria
404,BGR,Bulgaria
405,BGR,Bulgaria
406,BGR,Bulgaria
407,BGR,Bulgaria
408,BGR,Bulgaria
409,BGR,Bulgaria
410,BGR,Bulgaria
411,BGR,Bulgaria
412,BGR,Bulgaria
413,BGR,Bulgaria
414,BGR,Bulgaria
415,BGR,Bulgaria
416,BGR,Bulgaria
417,BGR,Bulgaria
418,BGR,Bulgaria
419,BGR,Bulgaria
420,BGR,Bulgaria
421,BGR,Bulgaria
422,BGR,Bulgaria
423,BGR,Bulgaria
424,BGR,Bulgaria
425,BGR,Bulgaria
426,BGR,Bulgaria
427,BGR,Bulgaria
428,BGR,Bulgaria
429,BGR,Bulgaria
430,BGR,Bulgaria
431,BHR,Bahrain
432,BHR,Bahrain
433,BHR,Bahrain
434,BHR,Bahrain
435,BHR,Bahrain
436,BHR,Bahrain
437,BHR,Bahrain
438,BHR,Bahrain
439,BHR,Bahrain
440,BHR,Bahrain
441,BHR,Bahrain
442,BHR,Bahrain
443,BHR,Bahrain
444,BHR,Bahrain
445,BHR,Bahrain
446,BHS,Bahamas
447,BHS,Bahamas
448,BHS,Bahamas
449,BHS,Bahamas
450,BHS,Bahamas
451,BHS,Bahamas
452,BHS,Bahamas
453,BHS,Bahamas
454,BHS,Bahamas
455,BHS,Bahamas
456,BHS,Bahamas
457,BHS,Bahamas
458,BHS,Bahamas
459,BHS,Bahamas
460,BHS,Bahamas
461,BHS,Bahamas
462,BHS,Bahamas
463,BHS,Bahamas
464,BHS,Bahamas
465,BHS,Bahamas
466,BHS,Bahamas
467,BHS,Bahamas
468,BHS,Bahamas
469,BIH,Bosnia and Herzegovina
470,BIH,Bosnia and Herzegovina
471,BIH,Bosnia and Herzegovina
472,BIH,Bosnia and Herzegovina
473,BIH,Bosnia and Herzegovina
474,BIH,Bosnia and Herzegovina
475,BIH,Bosnia and Herzegovina
476,BIH,Bosnia and Herzegovina
477,BIH,Bosnia and Herzegovina
478,BIH,Bosnia and Herzegovina
479,BIH,Bosnia and Herzegovina
480,BIH,Bosnia and Herzegovina
481,BIH,Bosnia and Herzegovina
482,BIH,Bosnia and Herzegovina
483,BIH,Bosnia and Herzegovina
484,BIH,Bosnia and Herzegovina
485,BIH,Bosnia and Herzegovina
486,BIH,Bosnia and Herzegovina
487,BIH,Bosnia and Herzegovina
488,BIH,Bosnia and Herzegovina
489,BIH,Bosnia and Herzegovina
490,BIH,Bosnia and Herzegovina
491,BIH,Bosnia and Herzegovina
492,BIH,Bosnia and Herzegovina
493,BLR,Belarus
494,BLR,Belarus
495,BLR,Belarus
496,BLR,Belarus
497,BLR,Belarus
498,BLR,Belarus
499,BLR,Belarus
500,BLR,Belarus
501,BLR,Belarus
502,BLR,Belarus
503,BLR,Belarus
504,BLR,Belarus
505,BLR,Belarus
506,BLR,Belarus
507,BLR,Belarus
508,BLR,Belarus
509,BLR,Belarus
510,BLR,Belarus
511,BLR,Belarus
512,BLR,Belarus
513,BLR,Belarus
514,BLR,Belarus
515,BLR,Belarus
516,BLR,Belarus
517,BLR,Belarus
518,BLR,Belarus
519,BLR,Belarus
520,BLR,Belarus
521,BLR,Belarus
522,BLR,Belarus
523,BLZ,Belize
524,BLZ,Belize
525,BLZ,Belize
526,BLZ,Belize
527,BLZ,Belize
528,BLZ,Belize
529,BLZ,Belize
530,BLZ,Belize
531,BLZ,Belize
532,BLZ,Belize
533,BLZ,Belize
534,BLZ,Belize
535,BLZ,Belize
536,BLZ,Belize
537,BLZ,Belize
538,BLZ,Belize
539,BLZ,Belize
540,BLZ,Belize
541,BLZ,Belize
542,BLZ,Belize
543,BMU,Bermuda
544,BMU,Bermuda
545,BMU,Bermuda
546,BMU,Bermuda
547,BMU,Bermuda
548,BMU,Bermuda
549,BMU,Bermuda
550,BMU,Bermuda
551,BMU,Bermuda
552,BMU,Bermuda
553,BMU,Bermuda
554,BMU,Bermuda
555,BMU,Bermuda
556,BMU,Bermuda
557,BMU,Bermuda
558,BMU,Bermuda
559,BMU,Bermuda
560,BMU,Bermuda
561,BOL,Bolivia
562,BOL,Bolivia
563,BOL,Bolivia
564,BOL,Bolivia
565,BOL,Bolivia
566,BOL,Bolivia
567,BOL,Bolivia
568,BOL,Bolivia
569,BOL,Bolivia
570,BOL,Bolivia
571,BOL,Bolivia
572,BOL,Bolivia
