,nx_bipartite_deg_centr
CYM,0.375
BEN,0.375
BIH,0.7083333333333333
ERI,0.5
SDN,0.5416666666666666
UGA,0.625
GIN,0.5416666666666666
MLI,0.5416666666666666
GRC,0.875
VGB,0.375
SHN,0.29166666666666663
BDI,0.5416666666666666
HUN,0.875
JOR,0.6666666666666666
PAN,0.5416666666666666
SPM,0.41666666666666663
BTN,0.5416666666666666
SOM,0.5
SCG,0.7916666666666666
CUB,0.7916666666666666
GRL,0.125
KHM,0.5833333333333333
COD,0.6666666666666666
FRA,0.9166666666666666
NPL,0.41666666666666663
CRI,0.625
GLP,0.5833333333333333
NER,0.41666666666666663
BMU,0.41666666666666663
AZE,0.8333333333333333
GRD,0.41666666666666663
COM,0.4583333333333333
ARM,0.5416666666666666
REU,0.5833333333333333
UKR,0.875
TON,0.4583333333333333
MWI,0.5833333333333333
ZMB,0.625
CHN,0.9166666666666666
TUN,0.75
CZE,0.8333333333333333
VEN,0.875
MOZ,0.5833333333333333
KNA,0.4583333333333333
DOM,0.5416666666666666
PYF,0.4583333333333333
ESP,0.9583333333333333
GHA,0.625
KWT,0.5833333333333333
VCT,0.5
FRO,0.125
PRK,0.6666666666666666
GIB,0.25
PRT,0.9166666666666666
TKM,0.5833333333333333
AGO,0.41666666666666663
LSO,0.4583333333333333
SYR,0.5416666666666666
IRQ,0.5833333333333333
STP,0.4583333333333333
JPN,0.9583333333333333
BHS,0.5833333333333333
KAZ,0.8333333333333333
GNB,0.5416666666666666
NOR,0.9166666666666666
LVA,0.6666666666666666
COG,0.4583333333333333
MKD,0.6666666666666666
CIV,0.5416666666666666
GAB,0.375
MYS,0.6666666666666666
KGZ,0.5416666666666666
BRN,0.4583333333333333
EGY,0.9166666666666666
ROU,0.8333333333333333
MLT,0.375
KOR,0.9166666666666666
PLW,0.5
ARE,0.375
LBY,0.625
BRB,0.5
ISR,0.7916666666666666
ANT,0.375
URY,0.8333333333333333
GEO,0.75
ZWE,0.5
ZAF,0.7916666666666666
TJK,0.5833333333333333
ITA,0.9583333333333333
ALB,0.75
MRT,0.5416666666666666
RWA,0.5
VUT,0.4583333333333333
ESH,0.3333333333333333
PER,0.8333333333333333
LTU,0.75
IRL,0.8333333333333333
CAF,0.5
VNM,0.5833333333333333
MDV,0.5
AUT,0.9166666666666666
CAN,0.9166666666666666
SWZ,0.5416666666666666
TGO,0.375
MDA,0.6666666666666666
MMR,0.6666666666666666
PRY,0.6666666666666666
EST,0.7916666666666666
HRV,0.7916666666666666
SEN,0.5416666666666666
MUS,0.5416666666666666
HND,0.5416666666666666
BLR,0.7916666666666666
AIA,0.25
SYC,0.5
NLD,0.875
SGP,0.5416666666666666
SLV,0.5833333333333333
CYP,0.5416666666666666
GMB,0.5
HKG,0.5
IRN,0.6666666666666666
WSM,0.4583333333333333
GUY,0.375
SWE,0.9166666666666666
AIR,0.041666666666666664
BGD,0.7083333333333333
POL,0.875
SLB,0.4583333333333333
MNG,0.6666666666666666
DJI,0.41666666666666663
BRA,0.875
KEN,0.75
AFG,0.6666666666666666
BGR,0.8333333333333333
PRI,0.29166666666666663
TZA,0.625
SVN,0.7916666666666666
PHL,0.875
LBN,0.5833333333333333
DZA,0.875
USA,0.9583333333333333
CMR,0.41666666666666663
GBR,0.875
ATG,0.41666666666666663
COL,0.9166666666666666
NAM,0.5416666666666666
NCL,0.5
GUF,0.5416666666666666
SUR,0.5833333333333333
BEL,0.875
PAK,0.7083333333333333
RUS,0.9166666666666666
TCA,0.375
TLS,0.25
NZL,0.8333333333333333
MEX,0.7916666666666666
LBR,0.5416666666666666
JAM,0.5833333333333333
LAO,0.5833333333333333
OMN,0.4583333333333333
MAR,0.7083333333333333
BOL,0.6666666666666666
AUS,0.9583333333333333
GTM,0.625
SLE,0.5
COK,0.4583333333333333
IDN,0.8333333333333333
CHE,0.9166666666666666
PNG,0.5
THA,0.875
BHR,0.41666666666666663
LCA,0.5
UZB,0.6666666666666666
DMA,0.5
ETH,0.7083333333333333
DNK,0.875
ARG,0.9166666666666666
KIR,0.4583333333333333
LKA,0.7083333333333333
IND,0.9166666666666666
LUX,0.5416666666666666
MTQ,0.5416666666666666
SAU,0.5416666666666666
SVK,0.7083333333333333
QAT,0.4583333333333333
FLK,0.41666666666666663
SEA,0.041666666666666664
MAC,0.4583333333333333
GNQ,0.25
BLZ,0.5
MDG,0.5833333333333333
TUR,0.875
ECU,0.7083333333333333
YEM,0.5
DEU,0.9166666666666666
FIN,0.9166666666666666
NGA,0.625
BWA,0.41666666666666663
TWN,0.875
ISL,0.625
FJI,0.5833333333333333
CPV,0.4583333333333333
NIC,0.6666666666666666
ABW,0.375
TCD,0.5416666666666666
TTO,0.5833333333333333
CHL,0.8333333333333333
HTI,0.5416666666666666
BFA,0.5
