,nx_bipartite_deg_centr
3.C.1,0.9000000000000001
1.B.2,0.842857142857143
1.A.1.a,0.9714285714285715
2.A.3,0.9904761904761905
1.A.2,0.942857142857143
1.A.3.e,0.11904761904761905
3.C.3,0.680952380952381
2.D,0.9761904761904763
2.A.4,0.46190476190476193
1.A.4,0.961904761904762
3.C.2,0.4714285714285715
1.A.3.d,0.380952380952381
1.A.3.c,0.3190476190476191
4.C,0.4904761904761905
1.B.1,0.38571428571428573
2.A.1,0.680952380952381
1.A.5,0.6952380952380953
5.B,0.01904761904761905
2.C,0.380952380952381
1.A.3.a,0.5571428571428572
2.B,0.39047619047619053
1.A.1.bc,0.6285714285714287
2.A.2,0.5
1.A.3.b_noRES,0.9714285714285715
