,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_birank
0,1.A.1.a,0.41000552778536997
1,1.A.1.bc,0.030271339337270057
2,1.A.2,0.21713851051923658
3,1.A.3.a,0.009676989657736772
4,1.A.3.b_noRES,0.09212586656738767
5,1.A.3.c,0.0017530749171181343
6,1.A.3.d,0.005602997715461444
7,1.A.3.e,0.0022463208278867253
8,1.A.4,0.08562040551416572
9,1.A.5,0.0046249553343188764
10,1.B.1,0.02107689786713243
11,1.B.2,0.005473764690402966
12,2.A.1,0.05304003703805436
13,2.A.2,0.01498741592239111
14,2.A.3,0.0001398592278899709
15,2.A.4,0.0027119110417983556
16,2.B,0.01553769305263831
17,2.C,0.014999524971439263
18,2.D,0.003202371637255091
19,3.C.1,0.005654662501228051
20,3.C.2,0.00035290196056477895
21,3.C.3,0.0013865120655072766
22,4.C,0.0002878997270261163
23,5.B,0.002082560120720035
