,industry,industry_name
0,1.A.1.a,Main Activity Electricity and Heat Production
1,1.A.2,Manufacturing Industries and Construction
2,1.A.4,Residential and other sectors
3,1.A.5,Non-Specified
4,1.B.1,Solid Fuels
5,1.A.1.a,Main Activity Electricity and Heat Production
6,1.A.2,Manufacturing Industries and Construction
7,1.A.3.a,Civil Aviation
8,1.A.3.b_noRES,Road Transportation no resuspension
9,1.A.3.d,Water-borne Navigation
10,1.A.3.e,Other Transportation
11,1.A.4,Residential and other sectors
12,1.A.5,Non-Specified
13,1.B.2,Oil and Natural Gas
14,2.A.3,Glass Production
15,2.A.4,Other Process Uses of Carbonates
16,2.D,Non-Energy Products from Fuels and Solvent Use
17,1.A.1.a,Main Activity Electricity and Heat Production
18,1.A.2,Manufacturing Industries and Construction
19,1.A.4,Residential and other sectors
20,1.A.5,Non-Specified
21,1.B.1,Solid Fuels
22,1.B.2,Oil and Natural Gas
23,3.C.1,Emissions from biomass burning
24,1.A.1.a,Main Activity Electricity and Heat Production
25,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
26,1.A.2,Manufacturing Industries and Construction
27,1.A.3.a,Civil Aviation
28,1.A.3.b_noRES,Road Transportation no resuspension
29,1.A.3.d,Water-borne Navigation
30,1.A.3.e,Other Transportation
31,1.A.4,Residential and other sectors
32,1.A.5,Non-Specified
33,1.B.1,Solid Fuels
34,1.B.2,Oil and Natural Gas
35,2.A.1,Cement production
36,2.A.3,Glass Production
37,2.B,Chemical Industry
38,2.C,Metal Industry
39,2.D,Non-Energy Products from Fuels and Solvent Use
40,3.C.2,Liming
41,3.C.3,Urea application
42,1.A.2,Manufacturing Industries and Construction
43,1.A.4,Residential and other sectors
44,1.B.1,Solid Fuels
45,3.C.1,Emissions from biomass burning
46,1.A.1.a,Main Activity Electricity and Heat Production
47,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
48,1.A.2,Manufacturing Industries and Construction
49,1.A.3.a,Civil Aviation
50,1.A.3.b_noRES,Road Transportation no resuspension
51,1.A.3.d,Water-borne Navigation
52,1.A.3.e,Other Transportation
53,1.A.4,Residential and other sectors
54,1.A.5,Non-Specified
55,1.B.2,Oil and Natural Gas
56,2.A.1,Cement production
57,2.A.2,Lime production
58,2.A.3,Glass Production
59,2.A.4,Other Process Uses of Carbonates
60,2.C,Metal Industry
61,2.D,Non-Energy Products from Fuels and Solvent Use
62,1.A.1.a,Main Activity Electricity and Heat Production
63,1.A.2,Manufacturing Industries and Construction
64,1.A.3.b_noRES,Road Transportation no resuspension
65,1.A.4,Residential and other sectors
66,1.A.5,Non-Specified
67,1.B.1,Solid Fuels
68,1.B.2,Oil and Natural Gas
69,2.A.3,Glass Production
70,2.A.4,Other Process Uses of Carbonates
71,1.A.3.a,Civil Aviation
72,1.A.3.a,Civil Aviation
73,1.A.2,Manufacturing Industries and Construction
74,1.A.3.b_noRES,Road Transportation no resuspension
75,1.A.4,Residential and other sectors
76,1.A.5,Non-Specified
77,1.B.1,Solid Fuels
78,3.C.1,Emissions from biomass burning
79,1.A.1.a,Main Activity Electricity and Heat Production
80,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
81,1.A.2,Manufacturing Industries and Construction
82,1.A.3.a,Civil Aviation
83,1.A.3.b_noRES,Road Transportation no resuspension
84,1.A.3.c,Railways
85,1.A.3.d,Water-borne Navigation
86,1.A.3.e,Other Transportation
87,1.A.4,Residential and other sectors
88,1.A.5,Non-Specified
89,1.B.1,Solid Fuels
90,1.B.2,Oil and Natural Gas
91,2.A.1,Cement production
92,2.A.3,Glass Production
93,2.A.4,Other Process Uses of Carbonates
94,2.B,Chemical Industry
95,2.C,Metal Industry
96,2.D,Non-Energy Products from Fuels and Solvent Use
97,3.C.2,Liming
98,3.C.3,Urea application
99,4.C,Incineration and Open Burning of Waste
100,1.A.4,Residential and other sectors
101,1.A.1.a,Main Activity Electricity and Heat Production
102,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
103,1.A.2,Manufacturing Industries and Construction
104,1.A.3.b_noRES,Road Transportation no resuspension
105,1.A.4,Residential and other sectors
106,1.B.2,Oil and Natural Gas
107,2.A.3,Glass Production
108,2.A.4,Other Process Uses of Carbonates
109,2.D,Non-Energy Products from Fuels and Solvent Use
110,1.A.5,Non-Specified
111,3.C.1,Emissions from biomass burning
112,1.A.1.a,Main Activity Electricity and Heat Production
113,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
114,1.A.2,Manufacturing Industries and Construction
115,1.A.3.a,Civil Aviation
116,1.A.3.b_noRES,Road Transportation no resuspension
117,1.A.4,Residential and other sectors
118,1.B.2,Oil and Natural Gas
119,2.A.1,Cement production
120,2.A.2,Lime production
121,2.A.3,Glass Production
122,2.A.4,Other Process Uses of Carbonates
123,2.B,Chemical Industry
124,2.C,Metal Industry
125,2.D,Non-Energy Products from Fuels and Solvent Use
126,3.C.3,Urea application
127,1.A.1.a,Main Activity Electricity and Heat Production
128,1.A.2,Manufacturing Industries and Construction
129,1.A.3.b_noRES,Road Transportation no resuspension
130,1.A.3.e,Other Transportation
131,1.A.4,Residential and other sectors
132,1.B.1,Solid Fuels
133,1.B.2,Oil and Natural Gas
134,3.C.1,Emissions from biomass burning
135,4.C,Incineration and Open Burning of Waste
136,1.A.1.a,Main Activity Electricity and Heat Production
137,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
138,1.A.2,Manufacturing Industries and Construction
139,1.A.3.a,Civil Aviation
140,1.A.3.b_noRES,Road Transportation no resuspension
141,1.A.3.c,Railways
142,1.A.3.d,Water-borne Navigation
143,1.A.3.e,Other Transportation
144,1.A.4,Residential and other sectors
145,1.B.1,Solid Fuels
146,1.B.2,Oil and Natural Gas
147,2.A.1,Cement production
148,2.A.2,Lime production
149,2.A.3,Glass Production
150,2.A.4,Other Process Uses of Carbonates
151,2.B,Chemical Industry
152,2.C,Metal Industry
153,2.D,Non-Energy Products from Fuels and Solvent Use
154,3.C.2,Liming
155,3.C.3,Urea application
156,4.C,Incineration and Open Burning of Waste
157,1.A.2,Manufacturing Industries and Construction
158,1.A.4,Residential and other sectors
159,1.A.5,Non-Specified
160,3.C.1,Emissions from biomass burning
161,1.A.1.a,Main Activity Electricity and Heat Production
162,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
163,1.A.2,Manufacturing Industries and Construction
164,1.A.3.b_noRES,Road Transportation no resuspension
165,1.A.4,Residential and other sectors
166,1.A.5,Non-Specified
167,1.B.1,Solid Fuels
168,2.A.1,Cement production
169,2.A.2,Lime production
170,2.A.3,Glass Production
171,2.A.4,Other Process Uses of Carbonates
172,2.B,Chemical Industry
173,2.C,Metal Industry
174,2.D,Non-Energy Products from Fuels and Solvent Use
175,3.C.2,Liming
176,3.C.3,Urea application
177,1.A.1.a,Main Activity Electricity and Heat Production
178,1.A.2,Manufacturing Industries and Construction
179,1.A.4,Residential and other sectors
180,1.A.5,Non-Specified
181,3.C.1,Emissions from biomass burning
182,1.A.1.a,Main Activity Electricity and Heat Production
183,1.A.2,Manufacturing Industries and Construction
184,1.A.3.a,Civil Aviation
185,1.A.3.b_noRES,Road Transportation no resuspension
186,1.A.3.d,Water-borne Navigation
187,1.A.3.e,Other Transportation
188,1.A.4,Residential and other sectors
189,1.A.5,Non-Specified
190,1.B.2,Oil and Natural Gas
191,2.A.3,Glass Production
192,2.A.4,Other Process Uses of Carbonates
193,2.D,Non-Energy Products from Fuels and Solvent Use
194,1.A.1.a,Main Activity Electricity and Heat Production
195,1.A.2,Manufacturing Industries and Construction
196,1.A.3.b_noRES,Road Transportation no resuspension
197,1.A.4,Residential and other sectors
198,1.B.2,Oil and Natural Gas
199,3.C.1,Emissions from biomass burning
200,4.C,Incineration and Open Burning of Waste
201,1.A.1.a,Main Activity Electricity and Heat Production
202,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
203,1.A.2,Manufacturing Industries and Construction
204,1.A.3.a,Civil Aviation
205,1.A.3.b_noRES,Road Transportation no resuspension
206,1.A.3.c,Railways
207,1.A.3.d,Water-borne Navigation
208,1.A.3.e,Other Transportation
209,1.A.4,Residential and other sectors
210,1.A.5,Non-Specified
211,1.B.1,Solid Fuels
212,1.B.2,Oil and Natural Gas
213,2.A.1,Cement production
214,2.A.2,Lime production
215,2.A.3,Glass Production
216,2.A.4,Other Process Uses of Carbonates
217,2.B,Chemical Industry
218,2.C,Metal Industry
219,2.D,Non-Energy Products from Fuels and Solvent Use
220,3.C.2,Liming
221,3.C.3,Urea application
222,4.C,Incineration and Open Burning of Waste
223,5.B,Fossil fuel fires
224,1.A.1.a,Main Activity Electricity and Heat Production
225,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
226,1.A.2,Manufacturing Industries and Construction
227,1.A.3.b_noRES,Road Transportation no resuspension
228,1.A.3.c,Railways
229,1.A.3.d,Water-borne Navigation
230,1.A.4,Residential and other sectors
231,1.A.5,Non-Specified
232,1.B.1,Solid Fuels
233,1.B.2,Oil and Natural Gas
234,3.C.1,Emissions from biomass burning
235,4.C,Incineration and Open Burning of Waste
236,1.A.1.a,Main Activity Electricity and Heat Production
237,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
238,1.A.2,Manufacturing Industries and Construction
239,1.A.3.a,Civil Aviation
240,1.A.3.b_noRES,Road Transportation no resuspension
241,1.A.3.c,Railways
242,1.A.3.d,Water-borne Navigation
243,1.A.3.e,Other Transportation
244,1.A.4,Residential and other sectors
245,1.B.1,Solid Fuels
246,1.B.2,Oil and Natural Gas
247,2.A.1,Cement production
248,2.A.2,Lime production
249,2.A.3,Glass Production
250,2.A.4,Other Process Uses of Carbonates
251,2.B,Chemical Industry
252,2.C,Metal Industry
253,2.D,Non-Energy Products from Fuels and Solvent Use
254,3.C.2,Liming
255,3.C.3,Urea application
256,4.C,Incineration and Open Burning of Waste
257,1.A.1.a,Main Activity Electricity and Heat Production
258,1.A.2,Manufacturing Industries and Construction
259,1.A.3.c,Railways
260,1.A.4,Residential and other sectors
261,1.B.1,Solid Fuels
262,3.C.1,Emissions from biomass burning
263,1.A.1.a,Main Activity Electricity and Heat Production
264,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
265,1.A.2,Manufacturing Industries and Construction
266,1.A.3.a,Civil Aviation
267,1.A.3.b_noRES,Road Transportation no resuspension
268,1.A.3.c,Railways
269,1.A.3.d,Water-borne Navigation
270,1.A.3.e,Other Transportation
271,1.A.4,Residential and other sectors
272,1.A.5,Non-Specified
273,1.B.2,Oil and Natural Gas
274,2.A.1,Cement production
275,2.A.2,Lime production
276,2.A.3,Glass Production
277,2.A.4,Other Process Uses of Carbonates
278,2.B,Chemical Industry
279,2.C,Metal Industry
280,2.D,Non-Energy Products from Fuels and Solvent Use
281,3.C.2,Liming
282,3.C.3,Urea application
283,4.C,Incineration and Open Burning of Waste
284,1.A.1.a,Main Activity Electricity and Heat Production
285,1.A.2,Manufacturing Industries and Construction
286,1.A.4,Residential and other sectors
287,1.B.1,Solid Fuels
288,3.C.1,Emissions from biomass burning
289,1.A.1.a,Main Activity Electricity and Heat Production
290,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries
291,1.A.2,Manufacturing Industries and Construction
292,1.A.3.a,Civil Aviation
293,1.A.3.b_noRES,Road Transportation no resuspension
294,1.A.3.c,Railways
295,1.A.3.d,Water-borne Navigation
296,1.A.3.e,Other Transportation
297,1.A.4,Residential and other sectors
298,1.A.5,Non-Specified
299,1.B.2,Oil and Natural Gas
300,2.A.1,Cement production
301,2.A.2,Lime production
302,2.A.3,Glass Production
303,2.A.4,Other Process Uses of Carbonates
