,lapl_centr
BIH,0.0010012613715797607
ALB,0.0003326690291888649
GRC,0.0018035124062676597
PER,0.002294077865929085
LTU,0.0015010130251684498
IRL,0.001403778255407138
VNM,0.003615050548315831
AUT,0.003599954421244759
CAN,0.026222504147529194
MDA,0.0006897542105965535
MMR,0.002457743948428673
PRY,0.0004929420002455104
HUN,0.004263433802473353
EST,0.0014040628943538132
HRV,0.0011363061391896855
BLR,0.004130968355021825
SCG,0.0018514777882218422
NLD,0.00805749176765803
CUB,0.0075297338283842954
CYP,0.00010682335172439947
COD,0.0020328770777828216
IRN,0.0028279852328750043
HKG,0.0006391469878851505
FRA,0.035299130673353434
UKR,0.03100619887010833
SWE,0.007933750227976842
AZE,0.002404317223507177
BGD,0.0033695888591513063
POL,0.02037719230212513
ARM,0.0007693123144571651
BRA,0.023323001327940244
KEN,0.0015283865600439488
BGR,0.003180641931328003
ZMB,0.0008242291685313443
CHN,0.14658572434220382
SVN,0.0004244272568666137
PHL,0.0037426032921581208
TUN,0.0003563680890010767
USA,0.5410670596521914
CZE,0.012308003922882838
DZA,0.0004978940919423473
VEN,0.0026133438178322934
GBR,0.04700305568888222
COL,0.00429950814451835
PAK,0.006586224898615186
BEL,0.009429667772682573
RUS,0.11944251977430126
NZL,0.0008547324729170819
ESP,0.00885959976382365
MEX,0.007561020990717359
GHA,0.000700035741221841
PRK,0.004989767235658903
PRT,0.0014135334157037204
TKM,0.0004998496882963001
JPN,0.05937074835893229
MAR,0.0007497496822446455
KAZ,0.010382878589826953
GTM,0.001567279620415914
AUS,0.012958717532024941
NOR,0.0013897592483535864
IDN,0.012969529527883729
CHE,0.0015088217393531842
THA,0.0028596686218379398
LVA,0.001260618976827875
MKD,0.0003084168921668657
UZB,0.001725718632339578
ETH,0.0033246381509729104
DNK,0.00439575484760789
ARG,0.006485339416298425
SVK,0.0025428006878201307
LUX,0.001435272409707748
IND,0.056558575276870596
MYS,0.0012736732872611497
EGY,0.002273595402761728
SEA,0.004969349034186476
ROU,0.008139333687234428
KGZ,0.0008665244450380235
KOR,0.0037468111189663663
TUR,0.004552668000303343
ECU,0.0008635772381251005
ISR,0.0007413940026281766
URY,0.00047376614811737094
FIN,0.0037016996653354917
DEU,0.08127549984192146
NGA,0.01107206110164461
GEO,0.0016911163064243489
TWN,0.0021566930347487814
ZWE,0.001940993560112614
ISL,9.376587080312708e-05
ZAF,0.014887505468279811
CHL,0.0016741391154911681
TJK,8.315660777973769e-05
ITA,0.019708254891365164
