industry,nx_lapl_centr_ind
1.B.2,0.003226528810305859
2.A.1,0.006500360806227569
1.A.2,0.38538601687568674
5.B,0.0014087455314490073
1.A.3.e,0.004277785039369419
1.A.3.b_noRES,0.10980107994358156
4.C,0.00019879981540302228
2.D,0.011676493616736599
1.B.1,0.008417499143891392
1.A.3.a,0.01372728192424224
1.A.5,0.010823889553211955
2.A.3,0.00017386875557907086
1.A.1.bc,0.03444175483644846
3.C.3,0.00013428089742419712
2.B,0.0044485901627671475
2.A.2,0.003044775319089666
3.C.1,0.006440846444030318
3.C.2,0.0010234918500971624
1.A.4,0.32714355255524136
2.C,0.005052895033837273
2.A.4,0.002232207034850215
1.A.1.a,0.28638675501555483
1.A.3.c,0.007749917592083047
1.A.3.d,0.007338357113494213
