,nx_lapl_centr_ind
1.A.1.bc,0.023652512566355158
3.C.3,0.0008729068769808887
2.A.3,8.717564844337096e-05
2.A.2,0.008990329644526038
3.C.1,0.005911177766042215
1.A.5,0.0027975894822818387
1.A.4,0.11265462327432467
1.B.2,0.004477989180091492
2.A.4,0.0016605597267420797
1.A.3.d,0.00645422515266758
2.C,0.009050055483233515
1.A.1.a,0.6130515270414071
2.B,0.010227200741048893
5.B,0.0012418574339802975
1.B.1,0.012847369297113977
4.C,0.00017174460373236132
2.D,0.002167489455594605
3.C.2,0.00025944963204887437
2.A.1,0.035487845648962936
1.A.2,0.24205681578981453
1.A.3.a,0.009527617608492961
1.A.3.b_noRES,0.12328671021866605
1.A.3.c,0.0012176888574981213
1.A.3.e,0.0015905352703406935
