node,nx_load_centr
ABW,0.0
1.A.1.a,0.0
1.A.2,0.0
1.A.4,0.03389077993192245
1.A.5,0.017130383306200977
1.A.3.a,0.017130383306200977
1.A.3.b_noRES,0.0
1.A.3.d,0.02564007695722954
1.A.3.e,0.0341497706082581
2.A.3,0.8282521829214148
2.A.4,0.19464999260026639
2.D,0.0
AFG,0.008546692319076513
3.C.1,0.03389077993192245
1.A.1.bc,0.00832470031078881
1.B.1,0.07584726949829806
1.B.2,0.5948645848749444
2.A.1,0.0
2.B,0.05065117655764392
3.C.3,0.017093384638153027
AGO,0.0
2.A.2,0.0
AIA,0.023531152878496372
AIR,0.0
ALB,0.0
1.A.3.c,0.008583690987124463
2.C,0.017093384638153027
3.C.2,0.09893443836021902
4.C,0.15657836317892554
ANT,0.0
ARE,0.0
ARG,0.0
ARM,0.0
ATG,0.0
AUS,0.008583690987124463
5.B,0.0
AUT,0.0
AZE,0.0
BDI,0.0
BEL,0.0
BEN,0.0
BFA,0.0
BGD,0.0
BGR,0.0
BHR,0.0
BHS,0.016834393961817375
BIH,0.10522421192837057
BLR,0.0
BLZ,0.0
BMU,0.0
BOL,0.0
BRA,0.0
BRB,0.0
BRN,0.0
BTN,0.0
BWA,0.0
CAF,0.0
CAN,0.0
CHE,0.0
CHL,0.0
CHN,0.0
CIV,0.0
CMR,0.0
COD,0.02552908095308569
COG,0.0
COK,0.4770978244783188
COL,0.0
COM,0.0
CPV,0.0
CRI,0.0
CUB,0.0
CYM,0.0
CYP,0.0
CZE,0.0
DEU,0.0
DJI,0.0
DMA,0.0
DNK,0.025492082285037736
DOM,0.0
DZA,0.0
ECU,0.0
EGY,0.0
ERI,0.0
ESH,0.05061417788959597
ESP,0.0
EST,0.0
ETH,0.0
FIN,0.0
FJI,0.0
FLK,0.0
FRA,0.0
FRO,0.04177149622613586
GAB,0.0
GBR,0.0
GEO,0.0
GHA,0.0
GIB,0.0
GIN,0.0
GLP,0.00817670563859701
GMB,0.0
GNB,0.0
GNQ,0.0
GRC,0.0
GRD,0.0
GRL,0.0
GTM,0.0
GUF,0.0
GUY,0.0
HKG,0.0
HND,0.0
HRV,0.0
HTI,0.0
HUN,0.0
IDN,0.0
IND,0.0
IRL,0.0
IRN,0.0
IRQ,0.0
ISL,0.0
ISR,0.0
ITA,0.0
JAM,0.0
JOR,0.0
JPN,0.0
KAZ,0.0
KEN,0.0
KGZ,0.0
KHM,0.0
KIR,0.0
KNA,0.0
KOR,0.0
KWT,0.0
LAO,0.0
LBN,0.0
LBR,0.0
LBY,0.0
LCA,0.0
LKA,0.0
LSO,0.0
LTU,0.0
LUX,0.0
LVA,0.0
MAC,0.19043214444280004
MAR,0.0
MDA,0.0
MDG,0.0
MDV,0.0
MEX,0.0
MKD,0.0
MLI,0.0
MLT,0.0
MMR,0.0
MNG,0.0
MOZ,0.0
MRT,0.0
MTQ,0.0
MUS,0.0
MWI,0.0
MYS,0.0
NAM,0.0
NCL,0.0
NER,0.0
NGA,0.0
NIC,0.0
NLD,0.0
NOR,0.0
NPL,0.008583690987124463
NZL,0.0
OMN,0.0
PAK,0.0
PAN,0.0
PER,0.0
PHL,0.0
PLW,0.15672635785111735
PNG,0.0
POL,0.0
PRI,0.0
PRK,0.0
PRT,0.0
PRY,0.0
PYF,0.0
QAT,0.0
REU,0.0
ROU,0.0
RUS,0.0
RWA,0.0
SAU,0.0
SCG,0.0
SDN,0.0
SEA,0.0
SEN,0.0
SGP,0.0
SHN,0.13863400917566968
SLB,0.0
SLE,0.0
SLV,0.0
SOM,0.0
SPM,0.0
STP,0.0
SUR,0.0
SVK,0.0
SVN,0.0
SWE,0.0
SWZ,0.0
SYC,0.0
SYR,0.0
TCA,0.0
TCD,0.0
TGO,0.0
THA,0.0
TJK,0.05793991416309013
TKM,0.0
TLS,0.0
TON,0.0
TTO,0.025270090276750035
TUN,0.0
TUR,0.0
TWN,0.0
TZA,0.0
UGA,0.0
UKR,0.0
URY,0.0
USA,0.0
UZB,0.0
VCT,0.0
VEN,0.0
VGB,0.0
VNM,0.0
VUT,0.0
WSM,0.0
YEM,0.0
ZAF,0.0
ZMB,0.04199348823442356
ZWE,0.0
