,weight_deg
BIH,16459.223217516
ALB,6495.392462691
GRC,32662.038944692
PER,35947.140828001
LTU,22635.880961270996
IRL,21207.54307532
VNM,73122.082487343
AUT,58662.45728057299
CAN,412974.7167371398
MDA,17617.890654514995
MMR,41894.615101250994
PRY,6781.241515859001
HUN,69914.49317942999
EST,23188.608896961
HRV,26223.024585157003
BLR,70208.99393179899
SCG,36050.729465075
NLD,135646.61736140505
CUB,105804.55860880102
CYP,2260.312803187
COD,27326.490814047997
IRN,81607.28411178003
HKG,9631.227370054003
FRA,512664.07582549
UKR,515231.82613779284
SWE,119125.17709295699
AZE,32576.554581938002
BGD,46309.647061952
POL,319184.5981478999
ARM,11059.939079149999
BRA,345945.21251457
KEN,20705.283358705998
BGR,72880.670244204
ZMB,11599.319293505
CHN,1606949.8618011996
SVN,10141.418831371999
PHL,74820.11843821201
TUN,5725.783312183
USA,4954520.184999699
CZE,191290.94760876702
DZA,19019.443784969
VEN,65974.39610869002
GBR,688007.79771495
COL,67142.93094738701
PAK,89550.79671088302
BEL,141464.77470521198
RUS,1624575.2289252
NZL,15645.155168661
ESP,148542.82111474598
MEX,158301.735426905
GHA,10316.038900081001
PRK,78866.77269505913
PRT,24161.726143042
TKM,17687.672059435998
JPN,873940.605969882
MAR,11295.282547649
KAZ,164413.41138021997
GTM,20105.036238806995
AUS,210117.768478145
NOR,38449.707470459
IDN,203045.29239741398
CHE,42795.719204647
THA,59045.372203423
LVA,18933.690822239005
MKD,9604.246664609002
UZB,50665.28549818001
ETH,43392.140921766986
DNK,64410.11828025402
ARG,117798.02315518004
SVK,48459.325876207
LUX,18500.273918199997
IND,761092.3737620001
MYS,23007.520862178
EGY,36535.68800432801
SEA,354049.0186
ROU,137771.819768002
KGZ,15201.25031673
KOR,63122.660293504014
TUR,82787.64728950502
ECU,14586.758731458
ISR,15067.99147774
URY,7995.320825062001
FIN,69822.539600182
DEU,1096969.6770891396
NGA,161347.91268667
GEO,29650.221106288
TWN,38027.24183937901
ZWE,29153.165072399996
ISL,1949.222413532
ZAF,242569.02566231397
CHL,34724.19957295701
TJK,7660.639938205999
ITA,322984.30952355
