,nx_bipartite_weight_deg
3.C.1,469622.77486744703
1.B.2,307985.60233276663
1.A.1.a,3895201.469147481
2.A.3,6251.440760381999
1.A.2,4926784.472431851
1.A.3.e,97787.74061386002
3.C.3,9090.248206794007
2.D,237645.70483380996
2.A.4,92429.12222754903
1.A.4,4589274.0936797615
3.C.2,43487.402896833984
1.A.3.d,443786.37507062696
1.A.3.c,266424.02102098
4.C,16584.763366236006
1.B.1,326262.33769726014
2.A.1,293917.8476
1.A.5,416729.4196032792
5.B,45729.64
1.A.3.a,335111.66292430705
2.C,241238.60028609994
2.B,137780.91741490999
1.A.1.bc,687413.7746233341
2.A.2,116109.48750000009
1.A.3.b_noRES,1693124.5952535465
